feature,VIF
age,1.2171139190634355
sex,1.2688536305514109
bmi,1.5735609190073854
bp,1.4220844569706195
s1,55.252136995917
s2,35.7593085168867
s3,14.285593641496657
s4,9.333044487896847
s5,10.071155356794783
s6,1.5006537070992738
